A00,COLERA
T58,EFECTO TOXICO DEL MONOXIDO DE CARBONO
T59,EFECTO TOXICO DE OTROS GASES HUMOS Y VAPORES
T60,EFECTO TOXICO DE PLAGUICIDAS PESTICIDAS
T61,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS
T62,EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO
T63,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS
T64,EFECTO TOXICO DE AFLATOXINA Y OTRAS MICOTOXINAS CONTAMINANTES DE ALIMENTOS
T65,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS
T66,EFECTOS NO ESPECIFICADOS DE LA RADIACION
T67,EFECTOS DEL CALOR Y DE LA LUZ
T68,HIPOTERMIA
T69,OTROS EFECTOS DE LA REDUCCION DE LA TEMPERATURA
T70,EFECTOS DE LA PRESION DEL AIRE Y DE LA PRESION DEL AGUA
T71,ASFIXIA
T73,EFECTOS DE OTRAS PRIVACIONES
T74,SÍNDROMES DEL MALTRATO
T75,EFECTOS DE OTRAS CAUSAS EXTERNAS
T78,EFECTOS ADVERSOS NO CLASIFICADOS EN OTRA PARTE
T79,ALGUNAS COMPLICACIONES PRECOCES DE TRAUMATISMOS NO CLASIFICADAS EN OTRA  PARTE
T80,COMPLICACIONES CONSECUTIVAS A INFUSION TRANSFUSION E INYECCION TERAPÉUTICA
T81,COMPLICACIONES DE PROCEDIMIENTOS NO CLASIFICADAS EN OTRA PARTE
T82,COMPLICACIONES DE DISPOSITIVOS PROTÉSICOS IMPLANTES E INJERTOS  CARDIOVASCULARES
T83,COMPLICACIONES DE DISPOSITIVOS IMPLANTES E INJERTOS GENITOURINARIOS
T84,COMPLICACIONES DE DISPOSITIVOS PROTÉSICOS IMPLANTES E INJERTOS ORTOPÉDICOS INTERNOS
T85,COMPLICACIONES DE OTROS DISPOSITIVOS PROTÉSICOS IMPLANTES E INJERTOS INTERNOS
T86,FALLA Y RECHAZO DEL TRASPLANTE DE ORGANOS Y TEJIDOS
T87,COMPLICACIONES PECULIARES DE LA REINSERCION Y AMPUTACION
T88,OTRAS COMPLICACIONES DE LA ATENCION MÉDICA Y QUIRURGICA NO CLASIFICADAS EN  OTRA PARTE
T90,SECUELAS DE TRAUMATISMOS DE LA CABEZA
T91,SECUELAS DE TRAUMATISMOS DEL CUELLO Y DEL TRONCO
T92,SECUELAS DE TRAUMATISMOS DE MIEMBRO SUPERIOR
T93,SECUELAS DE TRAUMATISMOS DE MIEMBRO INFERIOR
T94,SECUELAS DE TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO Y LAS NO ESPECIFICADAS
T95,SECUELAS DE QUEMADURAS CORROSIONES Y CONGELAMIENTOS
T96,SECUELAS DE ENVENENAMIENTOS POR DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
T97,SECUELAS DE EFECTOS TOXICOS DE SUSTANCIAS DE PROCEDENCIA PRINCIPALMENTE NO MEDICINAL
T98,SECUELAS DE OTROS EFECTOS Y LOS NO ESPECIFICADOS DE CAUSAS EXTERNAS
U04,ASIGNACIÓN PROVISIONAL DE NUEVAS ENFERMEDADES DE ETIOLOGÍA INCIERTA
U80,LOS AGENTES BACTERIANOS RESISTENTES A LOS ANTIBIÓTICOS
U81,LOS AGENTES BACTERIANOS RESISTENTES A LOS ANTIBIÓTICOS
U88,LOS AGENTES BACTERIANOS RESISTENTES A LOS ANTIBIÓTICOS
U89,LOS AGENTES BACTERIANOS RESISTENTES A LOS ANTIBIÓTICOS
V01,PEATON LESIONADO POR COLISION CON VEHICULO DE PEDAL
V02,PEATON LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V03,PEATON LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V04,PEATON LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V05,PEATON LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V06,PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V09,PEATON LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V10,CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL
V11,CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA
V12,CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V13,CICLISTA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V14,CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V15,CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V16,CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V17,CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO
V18,CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V19,CICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V20,MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL
V21,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL
V22,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V23,MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V24,MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V25,MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V26,MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V27,MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V28,MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V29,MOTOCICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V30,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON PEATON O ANIMAL
V31,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON VEHICULO DE PEDAL
V32,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON OTRO VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V33,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V34,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V35,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V36,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V37,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V38,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V39,OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y  EN LOS NO ESPECIFICADOS
V40,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON PEATON O ANIMAL
V41,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON VEHICULO DE PEDAL
V42,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V43,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON OTRO AUTOMOVIL CAMIONETA O FURGONETA
V44,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V45,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V46,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V47,OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V48,OCUPANTE DE AUTOMOVIL LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V49,OCUPANTE DE AUTOMOVIL LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V50,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON PEATON O ANIMAL
V51,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON VEHICULO DE PEDAL
V52,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V53,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V54,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V55,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V56,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V57,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V58,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V59,OCUPANTE DE CAMIONETA O FURGONETA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V60,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON PEATON O ANIMAL
V61,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON VEHICULO DE PEDAL
V62,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V63,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V64,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OTRO VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V65,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V66,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OTROS VEHICULOS SIN  MOTOR
V67,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V68,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V69,OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V70,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON PEATON O ANIMAL
V71,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON VEHICULO DE PEDAL
V72,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V73,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETA
V74,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V75,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V76,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V77,OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V78,OCUPANTE DE AUTOBUS LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V79,OCUPANTE DE AUTOBUS LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V80,JINETE U OCUPANTE DE VEHICULO DE TRACCION ANIMAL LESIONADO EN ACCIDENTE DE TRANSPORTE
V81,OCUPANTE DE TREN O VEHICULO DE RIELES LESIONADO EN ACCIDENTE DE TRANSPORTE
V82,OCUPANTE DE TRANVIA LESIONADO EN ACCIDENTE DE TRANSPORTE
V83,OCUPANTE DE VEHICULO ESPECIAL DE MOTOR PARA USO PRINCIPALMENTE EN PLANTAS INDUSTRIALES LESIONADO EN ACCIDENTE DE TRANSPORTE
V84,OCUPANTE DE VEHICULO ESPECIAL DE MOTOR PARA USO PRINCIPALMENTE EN AGRICULTURA LESIONADO EN ACCIDENTE DE TRANSPORTE
V85,OCUPANTE DE VEHICULO ESPECIAL DE MOTOR PARA CONSTRUCCION LESIONADO EN ACCIDENTE DE TRANSPORTE
V86,OCUPANTE DE VEHICULO ESPECIAL PARA TODO TERRENO O DE OTRO VEHICULO DE MOTOR PARA USO FUERA DE LA CARRETERA LESIONADO EN ACCIDENTE DE TRANSPORTE
V87,ACCIDENTE DE TRÁNSITO DE TIPO ESPECIFICADO PERO DONDE SE DESCONOCE EL MODO DE TRANSPORTE DE LA VÍCTIMA
V88,ACCIDENTE NO DE TRÁNSITO DE TIPO ESPECIFICADO PERO DONDE SE DESCONOCE EL MODO DE TRANSPORTE  DE LA VÍCTIMA
V89,ACCIDENTE DE VEHICULO DE MOTOR O SIN MOTOR TIPO DE VEHICULO NO ESPECIFICADO
V90,ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION
V91,ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO
V92,AHOGAMIENTO Y SUMERSION RELACIONADOS CON TRANSPORTE POR AGUA SIN ACCIDENTE A LA EMBARCACION
V93,ACCIDENTE EN UNA EMBARCACION SIN ACCIDENTE A LA EMBARCACION QUE NO CAUSA AHOGAMIENTO O SUMERSION
V94,OTROS ACCIDENTES DE TRANSPORTE POR AGUA Y LOS NO ESPECIFICADOS
V95,ACCIDENTE DE AERONAVE DE MOTOR CON OCUPANTE LESIONADO
V96,ACCIDENTE DE AERONAVE SIN MOTOR CON OCUPANTE LESIONADO
V97,OTROS ACCIDENTES DE TRANSPORTE AEREO ESPECIFICADOS
V98,OTROS ACCIDENTES DE TRANSPORTE ESPECIFICADOS
V99,ACCIDENTE DE TRANSPORTE NO ESPECIFICADO
W00,CAIDA EN EL MISMO NIVEL POR HIELO O NIEVE
W01,CAIDA EN EL MISMO NIVEL POR DESLIZAMIENTO TROPEZON Y TRASPIÉ
W02,CAIDA POR PATINES PARA HIELO ESQUIS PATINES DE RUEDAS O PATINETA
W03,OTRAS CAIDAS EN EL MISMO NIVEL POR COLISION CON O POR EMPUJON DE OTRA PERSONA
W04,CAIDA AL SER TRASLADADO O SOSTENIDO POR OTRAS PERSONAS
W05,CAIDA QUE IMPLICA SILLA DE RUEDAS
W06,CAIDA QUE IMPLICA CAMA
W07,CAIDA QUE IMPLICA SILLA
W08,CAIDA QUE IMPLICA OTRO MUEBLE
W09,CAIDA QUE IMPLICA EQUIPOS PARA JUEGOS INFANTILES
W10,CAIDA EN O DESDE ESCALERA Y ESCALONES
W11,CAIDA EN O DESDE ESCALERAS MANUALES
W12,CAIDA EN O DESDE ANDAMIO
W13,CAIDA DESDE FUERA O A TRAVÉS DE UN EDIFICIO U OTRA CONSTRUCCION
W14,CAIDA DESDE UN ÁRBOL
W15,CAIDA DESDE PEÑASCO
W16,SALTO O ZAMBULLIDA DENTRO DEL AGUA QUE CAUSA OTRO TRAUMATISMO SIN SUMERSION O AHOGAMIENTO
W17,OTRAS CAIDAS DE UN NIVEL A OTRO
W18,OTRAS CAIDAS EN EL MISMO NIVEL
W19,CAIDA NO ESPECIFICADA
W20,GOLPE POR OBJETO ARROJADO PROYECTADO O QUE CAE
W21,GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES
W22,GOLPE CONTRA O GOLPEADO POR OTROS OBJETOS
W23,ATRAPADO APLASTADO TRABADO O APRETADO EN O ENTRE OBJETOS
W24,CONTACTO TRAUMÁTICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION NO CLASIFICADOS EN OTRA PARTE
W25,CONTACTO TRAUMÁTICO CON VIDRIO CORTANTE
W26,CONTACTO TRAUMÁTICO CON CUCHILLO ESPADA DAGA O PUÑAL
W27,CONTACTO TRAUMÁTICO CON HERRAMIENTAS MANUALES SIN MOTOR
W28,CONTACTO TRAUMÁTICO CON CORTADORA DE CÉSPED CON MOTOR
W29,CONTACTO TRAUMÁTICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DEL HOGAR CON MOTOR
W30,CONTACTO TRAUMÁTICO CON MAQUINARIA AGRICOLA
W31,CONTACTO TRAUMÁTICO CON OTRAS MAQUINARIAS Y LAS NO ESPECIFICADAS
W32,DISPARO DE ARMA CORTA
W33,DISPARO DE RIFLE ESCOPETA Y ARMA LARGA
W34,DISPARO DE OTRAS ARMAS DE FUEGO Y LAS NO ESPECIFICADAS
W35,EXPLOSION Y ROTURA DE CALDERA
W36,EXPLOSION Y ROTURA DE CILINDRO CON GAS
W37,EXPLOSION Y ROTURA DE NEUMÁTICO TUBO O MANGUERA DE GOMA PRESURIZADA
W38,EXPLOSION Y ROTURA DE OTROS DISPOSITIVOS PRESURIZADOS ESPECIFICADOS
W39,EXPLOSION DE FUEGOS ARTIFICIALES
W40,EXPLOSION DE OTROS MATERIALES
W41,EXPOSICION A CHORRO DE ALTA PRESION
W42,EXPOSICION AL RUIDO
W43,EXPOSICION A VIBRACIONES
W44,CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL
W45,CUERPO EXTRAÑO QUE PENETRA A TRAVÉS DE LA PIEL
W49,EXPOSICION A OTRAS FUERZAS MECÁNICAS INANIMADAS Y LAS NO ESPECIFICADAS
W50,APORREO GOLPE MORDEDURA PATADA RASGUÑO O TORCEDURA INFLIGIDOS POR OTRA PERSONA
W51,CHOQUE O EMPELLON CONTRA OTRA PERSONA
W52,PERSONA APLASTADA EMPUJADA O PISOTEADA POR UNA MULTITUD O ESTAMPIDA HUMANA
W53,MORDEDURA DE RATA
W54,MORDEDURA O ATAQUE DE PERRO
W55,MORDEDURA O ATAQUE DE OTROS MAMIFEROS
W56,CONTACTO TRAUMÁTICO CON ANIMALES MARINOS
W57,MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS
W58,MORDEDURA O ATAQUE DE COCODRILO O CAIMÁN
W59,MORDEDURA O APLASTAMIENTO POR OTROS REPTILES
W60,CONTACTO TRAUMÁTICO CON AGUIJONES ESPINAS U HOJAS CORTANTES DE PLANTAS
W64,EXPOSICION A OTRAS FUERZAS MECÁNICAS ANIMADAS Y LAS NO ESPECIFICADAS
W65,AHOGAMIENTO Y SUMERSION MIENTRAS SE ESTÁ EN LA BAÑERA
W66,AHOGAMIENTO Y SUMERSION CONSECUTIVOS A CAIDA EN LA BAÑERA
W67,AHOGAMIENTO Y SUMERSION MIENTRAS SE ESTÁ EN UNA PISCINA
W68,AHOGAMIENTO Y SUMERSION CONSECUTIVOS A CAIDA EN UNA PISCINA
W69,AHOGAMIENTO Y SUMERSION MIENTRAS SE ESTÁ EN AGUAS NATURALES
W70,AHOGAMIENTO Y SUMERSION POSTERIOR A CAIDA EN AGUAS NATURALES
W73,OTROS AHOGAMIENTOS Y SUMERSIONES ESPECIFICADOS
W74,AHOGAMIENTO Y SUMERSION NO ESPECIFICADOS
W75,SOFOCACION Y ESTRANGULAMIENTO ACCIDENTAL EN LA CAMA
W76,OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES
W77,OBSTRUCCION DE LA RESPIRACION DEBIDA A HUNDIMIENTO CAIDA DE TIERRA U OTRAS SUSTANCIAS
W78,INHALACION DE CONTENIDOS GÁSTRICOS
W79,INHALACION E INGESTION DE ALIMENTO QUE CAUSA OBSTRUCCION DE LAS VIAS RESPIRATORIAS
W80,INHALACION E INGESTION DE OTROS OBJETOS QUE CAUSAN OBSTRUCCION DE LAS VIAS RESPIRATORIAS
W81,CONFINADO O ATRAPADO EN UN AMBIENTE CON BAJO CONTENIDO DE OXIGENO
W83,OTRAS OBSTRUCCIONES ESPECIFICADAS DE LA RESPIRACION
W84,OBSTRUCCION NO ESPECIFICADA DE LA RESPIRACION
W85,EXPOSICION A LINEAS DE TRANSMISION ELÉCTRICA
W86,EXPOSICION A OTRAS CORRIENTES ELÉCTRICAS ESPECIFICADAS
W87,EXPOSICION A CORRIENTE ELÉCTRICA NO ESPECIFICADA
W88,EXPOSICION A RADIACION IONIZANTE
W89,EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA DE ORIGEN ARTIFICIAL
W90,EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W91,EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W92,EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W93,EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W94,EXPOSICION A PRESION DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESION DEL AIRE
W99,EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS DE ORIGEN ARTIFICIAL
X00,EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X01,EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X02,EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X03,EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X04,EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X05,EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X06,EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X08,EXPOSICION A OTROS HUMOS FUEGOS O LLAMAS ESPECIFICADOS
X09,EXPOSICION A HUMOS FUEGOS O LLAMAS NO ESPECIFICADOS
X10,CONTACTO CON BEBIDAS ALIMENTOS GRASAS Y ACEITES PARA COCINAR CALIENTES
X11,CONTACTO CON AGUA CALIENTE CORRIENTE
X12,CONTACTO CON OTROS LIQUIDOS CALIENTES
X13,CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X14,CONTACTO CON AIRE Y GASES CALIENTES
X15,CONTACTO CON UTENSILIOS DOMÉSTICOS CALIENTES
X16,CONTACTO CON RADIADORES CAÑERIAS Y ARTEFACTOS PARA CALEFACCION CALIENTES
X17,CONTACTO CON MÁQUINAS MOTORES Y HERRAMIENTAS CALIENTES
X18,CONTACTO CON OTROS METALES CALIENTES
X19,CONTACTO CON OTRAS SUSTANCIAS CALIENTES Y LAS NO ESPECIFICADAS
X20,CONTACTO TRAUMÁTICO CON SERPIENTES Y LAGARTOS VENENOSOS
X21,CONTACTO TRAUMÁTICO CON ARAÑAS VENENOSAS
X22,CONTACTO TRAUMÁTICO CON ESCORPION
X23,CONTACTO TRAUMÁTICO CON AVISPONES AVISPAS Y ABEJAS
X24,CONTACTO TRAUMÁTICO CON CENTIPODOS Y MIRIÁPODOS VENENOSOS TROPICALES
X25,CONTACTO TRAUMÁTICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS
X26,CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X27,CONTACTO TRAUMÁTICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X28,CONTACTO TRAUMÁTICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS
X29,CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS VENENOSOS NO ESPECIFICADOS
X30,EXPOSICION AL CALOR NATURAL EXCESIVO
X31,EXPOSICION AL FRIO NATURAL EXCESIVO
X32,EXPOSICION A RAYOS SOLARES
X33,VÍCTIMA DE RAYO
X34,VÍCTIMA DE TERREMOTO
X35,VÍCTIMA DE ERUPCION VOLCÁNICA
X36,VÍCTIMA DE AVALANCHA DERRUMBE Y OTROS MOVIMIENTOS DE TIERRA
X37,VÍCTIMA DE TORMENTA CATACLISMICA
X38,VÍCTIMA DE INUNDACION
X39,EXPOSICION A OTRAS FUERZAS DE LA NATURALEZA Y LAS NO ESPECIFICADAS
X40,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A ANALGÉSICOS NO NARCOTICOS ANTIPIRÉTICOS Y ANTIRREUMÁTICOS
X41,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A DROGAS ANTIEPILÉPTICAS SEDANTES HIPNOTICAS ANTIPARKINSONIANAS Y PSICOTROPICAS NO CLASIFICADAS EN OTRA PARTE
X42,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A NARCOTICOS Y PSICODISLÉPTICOS ALUCINOGENOS NO CLASIFICADOS EN OTRA PARTE
X43,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO
X44,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS Y LOS NO ESPECIFICADOS
X45,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION AL ALCOHOL
X46,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A DISOLVENTES ORGÁNICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES
X47,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A OTROS GASES Y VAPORES
X48,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A PLAGUICIDAS
X49,ENVENENAMIENTO ACCIDENTAL POR Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS
X50,EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS
X51,VIAJES Y DESPLAZAMIENTOS
X52,PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD
X53,PRIVACION DE ALIMENTOS
X54,PRIVACION DE AGUA
X57,PRIVACION NO ESPECIFICADA
X58,EXPOSICION A OTROS FACTORES ESPECIFICADOS
X59,EXPOSICION A FACTORES NO ESPECIFICADOS
X60,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A ANALGÉSICOS NO NARCOTICOS ANTIPIRÉTICOS Y ANTIRREUMÁTICOS
X61,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A DROGAS ANTIEPILÉPTICAS SEDANTES HIPNOTICAS ANTIPARKINSONIANAS Y PSICOTROPICAS NO CLASIFICADAS
X62,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A NARCOTICOS Y PSICODISLÉPTICOS ALUCINOGENOS NO CLASIFICADOS EN OTRA PARTE
X63,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO
